detail,source,timestamp,title,url
,腾讯网,2021年4月1日 22:25,党委副书记王君松到第一书记任职村调研,https://new.qq.com/omn/20210401/20210401A0F42E00.html
客 户 端. 标题 . 标题 . 作者 .关键字. 日期 .网站导航.设为首页.报刊投稿.中国社会科学院.CASS.English.Français.微报.图片集.视频集.读者之家.关  注.专  题.要  闻.国  际.学  人.智  库.报  刊.军  事.各  地.独家策划.数据中心.中国社会科学院.CASS.English.Français.微报.图片集.视频集.读者之家.关  注.专  题.要  闻.国  际.学  人.智  库.报  刊.军  事.各  地.独家策划.数据中心.首页.社科关注.高校.高校新闻.打印.推荐.巩固提升脱贫攻坚成效的治理机制.【中国攻坚进行时】城乡融合发展：巩固提升脱贫攻坚成效的治理机制.罗奂劼：全球制造业东西分化明显 中国复苏态势强劲.经典何以从未过时、启迪常新.民法典的中国特色实践特色时代特色.南岛语族考古研究基地大变样：遇见史前 一眼千年.回到频道首页.中国社会科学院概况.中国社会科学杂志社简介.关于我们.法律顾问.广告服务.网站声明.联系我们.京ICP备11013869号. .中国社会科学院概况.中国社会科学杂志社简介.关于我们.法律顾问.广告服务.网站声明.联系我们. .,中国社会科学网,2021年4月2日 15:10,非遗研究基地工作座谈会在召开,http://ex.cssn.cn/zx/zx_gx/news/202104/t20210402_5323907.shtml
登录.一喝粥就烧心怎么办？饮食睡眠注意这6点.云南铁路部门公布瑞丽地区免费退票措施.成都最新路况！成都周边多个收费站关闭.最新公布的20个长寿办法，第一名不是健身.胆固醇升高都必须吃药？医生：关键要看低密度脂蛋白高多少.一旦参透世界的规律，健康和财富都会来了！.这3三种降压药都叫氨氯地平，我们应该如何选择？医生说了实话！.抑郁症：我的重度抑郁症靠运动康复了起来！推荐给你的三种运动.设为首页.使用百度前必读.意见反馈.京公网安备11000002000001号.,潇湘晨报,2021年4月2日 17:16,齐鲁医院(青岛)钟敬泉教授团队完成国产Lefort左心耳封堵...,https://baijiahao.baidu.com/s?id=1695919586984870147&wfr=spider&for=pc
"
            .
            .报料.注册.登录.精选.视频.上直播.七环视频.温度计.一级视场.World湃.湃客科技.纪录湃.围观.@所有人.大都会.追光灯.运动装.健寻记.AI播报.眼界.关键帧.世界会客厅.时事.中国政库.中南海.初心之路.舆论场.打虎记.人事风向.法治中国.一号专案.港台来信.长三角政商.直击现场.公益湃.暖闻.澎湃质量报告.绿政公署.澎湃国际.外交学人.澎湃防务.唐人街.澎湃人物.浦江头条.教育家.全景现场.美数课.快看.财经.10%公司.能见度.地产界.财经上下游.金改实验室.牛市点线面.科技湃.澎湃商学院.自贸区连线.进博会在线.澎湃号.湃客.政务.媒体.思想.社论.澎湃评论.思想湃.上海书评.思想市场.私家历史.翻书党.艺术评论.古代艺术.文化课.逝者.澎湃研究所.市政厅.城市漫步.智库报告.专栏.异次元.海平面.一问三知.生活.有戏.文艺范.身体.私·奔.运动家.私家地理.非常品.楼市.生活方式.澎湃联播.视界.亲子学堂.赢家.汽车圈.战疫.战疫.问吧.订阅.马上登录.澎湃号.新时报.
                                .
                                .收藏.一天.三天.一周.H&M官网存在“问题中国地图”被联合约谈.中国首例人体冷冻术：等待妻子复活的四年里，我感觉自己老了.太原核查“男子搭讪遭拒刺死女大学生”，涉案男子缓刑期杀人.脱落光缆先后绊倒两人前者被判赔后者一半，河南高院立案再审.一图看懂台铁太鲁阁号出轨事故.台铁脱轨事故致50死146伤，列车仍深陷在隧道中.东盟四国外长密集访华，专家：东盟不会完全经济安全“二分”.判决书：月薪超5万腾讯员工跳槽字节跳动，被判赔还111万.台铁记者会：太鲁阁号脱轨事故致51人罹难、146人送医.上亿人的新风口？茶在美国火了，星巴克、可口可乐纷纷入局.男子裸聊被敲诈后“以劳抵债”，越干越起劲两周获利近八千.H&M官网存在“问题中国地图”被联合约谈.焦作女教师称评职称不公将区教育局告上法庭，区教育局长去职.北京警方：男子微信群聊中辱骂烈士王伟及其遗孀，被依法刑拘.关于BBC，华春莹今天详答澎湃.城市夹缝中的邻居：南京一水坑旁，女孩拍到三十多种野生动物.中国首例人体冷冻术：等待妻子复活的四年里，我感觉自己老了.北京一村霸当上村支书：疯狂敛财近亿、每天只给村民供水两小时.台铁太鲁阁号出轨｜至少36人到院前无生命迹象，72人受困.二度跨省任职，王凯履新河南省代省长.巴基斯坦总统新冠检测结果呈阳性，此前已接种第一剂次疫苗.世界杯亚洲区预选赛：日本队14:0大胜蒙古国队.执行死刑前孙小果哭了，专题片大起底孙小果案幕后枉法腐败.华为拿下支付牌照的背后：补齐完善鸿蒙生态.哈尔滨“电老虎”拥百辆豪车、房产69套，被查扣现金近10亿.香港金牌配角廖启智去世，享年66岁.焦作女教师诉教育局行政不作为案开庭前夕，校方对其通报处理.外交部发言人宣布对美国、加拿大有关人员和实体实施制裁.苏伊士运河搁浅货轮成功解困，背后“神力”竟是潮汐！.视频丨孙小果被执行死刑前画面公开.一天.三天.一周.我们是中央气象台工程师，2020年汛期会有多厉害，问吧！.孩子随母姓尴尬了谁？女子争取冠姓权是小题大做吗？.银保监会称瑞幸财务造假性质恶劣，对此你怎么看？.如何看待就业歧视非全日制学历现象？学历鄙视链真的存在吗？.建议狗是伴侣动物拟禁食，你怎么看？.我们是中央气象台工程师，2020年汛期会有多厉害，问吧！.孩子随母姓尴尬了谁？女子争取冠姓权是小题大做吗？.银保监会称瑞幸财务造假性质恶劣，对此你怎么看？.如何看待就业歧视非全日制学历现象？学历鄙视链真的存在吗？.建议狗是伴侣动物拟禁食，你怎么看？.我们是中央气象台工程师，2020年汛期会有多厉害，问吧！.孩子随母姓尴尬了谁？女子争取冠姓权是小题大做吗？.银保监会称瑞幸财务造假性质恶劣，对此你怎么看？.如何看待就业歧视非全日制学历现象？学历鄙视链真的存在吗？.建议狗是伴侣动物拟禁食，你怎么看？.联系我们.关于澎湃.在澎湃工作.联系我们.广告及合作.版权声明.隐私政策.友情链接.澎湃新闻举报受理和处置办法.严正声明. .沪ICP备14003370号.
		.",澎湃新闻,2021年4月2日 13:06,2021年强基计划招生简章发布,http://www.thepaper.cn/newsDetail_forward_12018387
"首页.青岛新闻.教育.财经.健康.消费.旅游.房产.品牌.汽车.品牌.政法.家居.区县.市南.市北.李沧.崂山.黄岛.城阳.即墨.胶州.平度.莱西.更多.山东手机报.移动客户端.山东24小时.大众论坛客户端.用户登录.大众邮箱.晚报邮箱.大众论坛.大众博客.众众微博.首页.教育.教育头条.【更多新闻，请下载""海报新闻""客户端或订阅山东手机报】.【山东手机报订阅：移动/联通/电信用户分别发送短信SD到10658000/106558000678/106597009】.新闻.山东.新闻.政教.经济.社会.文体.政务.独立调查.国内.国际.社会.精选.评论.敢当头条.敢当原创.体育.热点聚焦.鲁能.黄金.娱乐.娱乐头条.明星.电影.女性.情感.服饰.美容.职场.文史.文化.历史.艺术.热点.读书.畅销.文摘.好书.书评.书画.齐鲁艺坛.名家.名作.房产.家居.房产.山东楼市.曝光维权.打折优惠.购房宝典.家居.头条新闻.打折促销.家居设计.家居直通车.旅游.门票.美食.驴友.乡村.家电.打折促销.卖场资讯.本网原创.家电投诉.消费.聚焦.曝光.品牌.汽车.汽车新闻.济南车市.嘉宾访谈.新闻现场.财经.酒水.财经.焦点新闻.山东财经.银行资讯.山东保险.酒水.酒业新闻.活动专题.行业访谈.鲁酒馆.食品.资讯发布.食品安全.健康.山东卫生.院长在线.精彩专题.鲁企.鲁企要闻.山东国资.教育.热点新闻.培训导学.聚焦山东.山东高考.留学资讯.移民专区.论坛.互动.地方.济南.济宁.聊城.青岛.泰安.临沂.淄博.威海.菏泽.枣庄.日照.莱芜.烟台.滨州.东营.潍坊.德州.胜利.拍客.随 手 拍.东营拍客.济南拍客.菏泽拍客.临沂拍客.济宁拍客.潍坊拍客.烟台拍客.齐鲁.投诉举报.咨询求助.建言献策.满意排行.分站.策划.分站.济南.青岛.枣庄.威海.烟台.潍坊.济宁.聊城.日照.滨州.德州.临沂.菏泽.东营.泰安.淄博.莱芜.策划.今日专题.独立调查.权威发布.齐鲁手机报.手机杂志.3G.大屏.敢当.敢当原创.敢当微评.民生.财经.时政.文体.关于我们.报业集团.版权声明.广告业务.联系方式.网站地图.webmaster@dzwww.com.新闻信息服务许可证.音像制品出版许可证.新出网证（鲁）字02号.网络视听许可证.",大众网,2021年4月1日 22:04,一校三地一体化(青岛)召开服务青岛工作推进会,http://qingdao.dzwww.com/jiaoyu/edutt/202104/t20210401_8266172.htm
[请登录].[免费注册].网站首页.展会服务.怀化单招都有什么专业新高考志愿填报-湘西新闻.湖南西南大学自主选拔简章一对一志愿填报-龙州新闻.湖南高考如何填志愿表高考填志愿-奎屯新闻.怀化东北师范大学自主选拔报名高考志愿填报-晋中新闻.怀化艺术高考摄影招生专业志愿填报-德钦新闻.怀化东南大学自主选拔条件高考志愿填报-孟连新闻.湖南江南大学自主选拔条件一对一志愿填报-腾冲新闻.湖南中央财经大学自招有什么专业专业志愿填报-滦县新闻.湖南浙江大学自招有什么专业一对一志愿填报-西乡塘新闻.湖南吉林大学自主选拔条件高考填志愿-凤庆新闻.网站地图.网站导航.,邯郸之窗,2021年4月3日,湖南自主选拔报名高考志愿填报-潘集新闻,http://www.hdzc.net/qysx/n5nxz43q/15995741.html
,腾讯网,2021年4月3日,"龙山校区尚未建成,关注度却不低,这是为什么",https://new.qq.com/omn/20210403/20210403A02EYX00.html
登录.隶书大家宋庆泽先生书唐.杜牧诗《清明》.诗l红色的布.清明‖清明祭祖.写出《肖申克的救赎》的作家，告诉你如何成为小说大师.得语文者得天下！学好语文10大习惯和5种方法（家长和学生收藏）.莫言：我有一种偏见，我认为文学作品永远不是唱赞歌的工具.3月很努力，4月不伤悲.想写好一篇作文，要先学会写好一段话，从两个方面入手.设为首页.使用百度前必读.意见反馈.京公网安备11000002000001号.,齐鲁壹点,2021年4月2日 14:29,文学大咖谈|学中文无用?文学院马兵:文学是向善的门径,https://baijiahao.baidu.com/s?id=1695910685225336050&wfr=spider&for=pc
登录.适合理科生报考的大学，发展空间大，录取分数低，高三学子注意了.山东省高校排名出炉，山东大学稳居榜首，齐鲁工业大学争议较大.全国高校学生实力榜出炉，浙大第二，清华第八，榜首令人出乎意料.北航考研录取名单，多名二本考生成功上岸，初试418分学霸遭淘汰.通过2021考研，反映出了4个问题，今后考研或许会更难！.高中理科生多努力才能考上985？高中学习的铁三角，你有必要知道.高考分数和平时分数差距有多大？985学霸告诉你，差的不是一般大.高考成绩档次划分，不同分数段对应什么大学？前两档的学生很稳定.设为首页.使用百度前必读.意见反馈.京公网安备11000002000001号.,白瑾学长,2021年4月3日,"高校排名出炉,稳居榜首,齐鲁工业大学争议较大",https://baijiahao.baidu.com/s?id=1695999633520410101&wfr=spider&for=pc
"网易首页.应用
            .
                  .
                  .
                  .
                  .
                  .
                  .
                  .
            .新闻.国内.国际.图片.评论.探索.军事.本地新闻.王三三.体育.NBA.CBA.综合.中超.国际足球.英超.西甲.意甲.娱乐.明星.图片.电影.电视.音乐.稿事编辑部.娱乐FOCUS.星捕快.财经.股票.行情.产经.新股.金融.基金.商业.理财.汽车.购车.行情.选车.车型库.行业.用车.汽车图片.科技.通信.IT.互联网.移动互联网.特别策划.五道口沙龙.易语中的.专题.女人.亲子.艺术.时尚.收藏.情感.星座.美容.手机.数码.移动.电脑.手机库.家电.智能硬件.相机.手机视频.房产.家居.北京房产.上海房产.广州房产.全部分站.楼盘库.家具.卫浴.衣柜.旅游.户外.贵州.美食.四川.景点.新疆.专题.西藏.教育.移民.考研.留学.公务员.外语.中小学.高考.校园.查看网易地图.登录.注册免费邮箱
                .
                      .
                      .
                .
                  .
                .
                      .
                      .
                      .
                      .
                      .
                      .
                      .
                .
                      .
                      .
                      .
                      .
                      .
                      .
                      .
                      .
                      .
                .
                      .
                      .
                      .
                      .
                      .
                      .
                .
                      .
                      .
                      .
                      .
                      .
                      .
                      .网易首页.网易号.申请入驻.举报.0.返回网易首页.下载网易新闻客户端.
                                .90后博导：本科毕业于山大，直博清华，如今任教985高校！.
                                    .
                                .电子科大这2个专业有多赚钱？毕业就有好工作，年薪25W算白菜.
                                    .
                                .如很看待电子科技大学温江永宁校区的获批筹建？.
                                    .
                                .山东省教育厅公布一名单，6位教授同时入选，全部来自青岛大学！.
                                    .
                                .重庆：支持重庆大学、西南大学等高校高质量发展.
                                    .
                                .济南大学是济南的“亲儿子”，为啥被山东省划走了一级学科博士点.
                                    .
                                .西部名校排名公布，第一稳赢，第二名竞争却很激烈，川大沦为第三.
                                    .
                                .6所高校强基计划招生简章公布！1项新规须注意！报错白废.
                                    .
                                .放弃保研清华、北大，从美国硅谷“女强人”到中国主持人，亮相央视！.
                                    .
                                .2021强基计划“冷门或更冷”！家长吐槽：一群高校普且信.
                                    .
                                .1所211大学，4年内7位院长被挖走，背后原因有哪些？.
                                    .
                                .他47岁任宜昌唯一一本大学校长，“国内一流”建设高校，今年56岁.
                                    .
                                .最新大学录取分数线排名，清华第1，北航进前10，山大只排在40名.
                                    .
                                .二本突然变成985重点大学，学生的学历也会一起升级吗？.
                                    .
                                .北大竟然负增长，北京化工增长第1！102所一流高校4年经费榜单.
                                    .
                                .绿色进高校！明年北京七成高校将完成绿色学校达标创建.
                                    .
                                .“计算机”专业高校排名，电子科技大学无缘前十，东北大学亮眼.
                                    .
                                .定了！北京一所知名大学，整体搬迁！.
                                    .
                                .西安电子科技大学不愧是西军电，名声实力，超过身为985的成电.
                                    .
                                .北京交通大学2021年会计专硕 复试详情（附录取名单）.
                                    .
                                .通过2021考研，发现了4个问题，今后考研或许会更难.
                                    .
                                .珍珠城安徽蚌埠,顶尖大学！.
                                    .
                                .中国的科研人员太累了，建议培养一些庸俗的爱好.
                                    .
                                .院士校长：人生两个阶段最能逼出成果，一是拿博士学位，二是评正教授.
                                    .
                                .男生在课桌上玩手机，老师手指不经意碰到，网友：富贵险中求！.
                                    .
                                .IT界的3所名校，“两电一邮”哪一所才是考生心中的目标.
                                    .
                                .深圳奥原希望苦练半年仍然不敌球馆大叔.
                                    .
                                .宁波中考太有特色，动感十足：强基计划、学科特色班和定向招生！.
                                    .
                                .谢老师给王凤朝市长两封信，一封转成都轨道集团，另一封转规自局.
                                    .
                                .山东大学：以志愿服务引领青年学史力行.
                                    .
                                .全景看重庆大学城.
                                    .
                                .【教育整顿】以考促行，强基铸魂———永春县检察院开展政法队伍教育整顿应知应会知识测试.
                                    .
                                .非谐振式低频电磁-摩擦复合纳米发电机用于随机、不规则海洋能量收集——重庆大学牟笑静团队新进展.
                                    .
                                .山东大学科研团队揭示太阳耀斑辐射扰动磁层空间.
                                    .
                                .许敏全家去祭祖 孩子手拿鲜花 郭威在姚家祠堂磕头.
                                    .
                                .杜新枝至少去过九江东林寺三次，姚策知道生母与九江的渊源吗？.
                                    .
                                .中国传出一声响，美国惊呼技术失窃，法国：看清楚，比你更先进.
                                    .
                                .摇号难？稼轩、山大附中之外，还有这个好选择 | 济南小升初.
                                    .
                                .凉凉，剑桥英语要彻底退出鸡娃江湖了？.
                                    .
                                .雷军晒小米总部新Logo：称“挺好看的” 网友神回复.
                                    .
      .三星退出国内LCD面板工厂 TCL已全面接管.
      .“夹菜识人术”：饭局上，不主动给别人夹菜的人，通常是这3种.
      .陌生人闯入家门，张口就要借钱？上海多人碰到这种荒唐事！.
      .“又黄又土”的椰树椰汁翻车了！低俗招聘广告被喷像“招嫖”…….
      .女大学生懒到让人“大跌眼镜”，床上吃喝，并且奶茶和袜子放一起.
      .梅根不懂见好就收，过度博关注让人产生厌恶，美国人：滚回英国！.
      .男子出轨自述：我们工薪阶层包养的女人大部分是打工妹.
      .现代捷恩斯正式入华！上海外滩无人机拼出“你好，中国”字样.
      .公务员“保护伞”恐被打破，700万人或将受影响，铁饭碗不稳了.
      .男朋友喜欢“口嗨”是一种怎样的体验？他们可能只是比较自信.
      .央视女主持走秀时泳裤滑落,却当作什么事也没发生：谁爱看谁看.
      .十二岁嫁给三岁丈夫，十五岁受诱惑生子，她并不悲惨.
      .龚琳娜的审美挺难懂，一身打扮看着有点老气，没点气场真不好驾驭.
      .美国留学生入学前必须接种疫苗，但中国疫苗不算，美国大学不承认.
      .林峯夫妇首度合体拍杂志，张馨月环搂老公尽显望夫眼，太有夫妻相.
      .黑种人、白种人、黄种人为什么能自由交配？生殖隔离失效了吗？.
      .信仰值这个价吗？宝马远光灯辅助功能可用OTA远程购买.
      .一旦印度顺利入常，哪国会被踢出群聊？美俄看法罕见达成一致.
      .最新，美国最大芯片代工厂全部产能已被预定！中芯国际正加速扩产.
      .巨石被精准切成两半，科学家称不是人类干的，至今仍是不解之谜！.
                        .小雨细说电影.带你领略人间电影故事.全部.教育要闻.
            .留美学霸自杀，一场属于“别人家的孩子”的悲剧.二本突变985，学生的学历也会一起升级吗？.中国的科研人员太累了，建议培养一些庸俗的爱好.教育部干得漂亮！两大重要考试被取消了.头条要闻.
            .7岁男童登封武校习武死亡 教练涉嫌过失致人死亡罪被起诉 .英教授：英美视海洋法为打击中国工具 但遵守了吗?.中美南海撞机事件后 曝美军迫降中国时慌乱销毁机密.李宁球鞋遭热炒暴涨31倍！转战国货有人几天赚辆车.头条要闻.
            .7岁男童登封武校习武死亡 教练涉嫌过失致人死亡罪被起诉 .英教授：英美视海洋法为打击中国工具 但遵守了吗?.中美南海撞机事件后 曝美军迫降中国时慌乱销毁机密.李宁球鞋遭热炒暴涨31倍！转战国货有人几天赚辆车.体育要闻.
            .北京22分大逆转上海锁定季后赛 吉布森46+6+7.惨！库里缺阵勇士53分完败猛龙 最多落后61分.库兹马30+5湖人力克国王 巴恩斯26+5马修斯伤退.字母哥47+12雄鹿擒开拓者 利拉德32分霍勒迪22+10.娱乐要闻.
            .不满张柏芝立人设卖惨？ 向太点赞动态内涵其人品.baby独自带儿子赏花被偶遇 全程牵着小海绵太贴心.复合了？李小璐陪甜馨海边游玩 前夫贾乃亮疑同行.陈思诚想把张子枫吻戏留给刘昊然 被吐槽爹味太浓.财经要闻.30人血栓7人死亡！这种争议疫苗又出事.农民卖菠菜 1300斤15元 菜贩:行情就这样.椰树集团""辣眼""回应！担心名牌""椰树""被搞垮.中信证券获第一大股东增持 9天扫货27亿！.科技要闻.
            .俄罗斯法庭宣布对推特处以890万卢布罚款：共3项违法记录.脸书未经同意向用户发送短信行为获法院支持.苹果新任命硬件工程高级副总裁 直接向库克汇报工作.马斯克为特斯拉德州超级工厂招人：有高中文凭就可以.汽车要闻.
            .今年内进入国内市场 捷尼赛思G80正式发布.扩充产品线 奥迪e-tron家族新车4月11日上市.特斯拉Model Y新车型信息 动力提升/续航更远.3月库存预警指数55.5% 4月车市或遇“倒春寒”.本地.游戏.房产.健康.军事航空.本地新闻.
            .你给我翻译翻译，到底啥叫翻译.什么时候轮到你成为问题？.S.K.Y左叶：二十伊始，要去成为真正的大人.
            .比特币公司购买价值3000万美元的NVIDIA矿卡.《赛博朋克2077》首席游戏设计师离职.《怪物猎人 崛起》公布游戏预购特典护石效果.房产要闻.
            .社论：地方调控加码，遏制楼市过热苗头.[上海]携2000余套房源入市的东外滩，你关心哪个项目？.广州楼市新政将带来哪些实质影响？专家解读来了.
        .回声、钙化？揭秘超声检查术语.传染病“一哥”结核病从未消失.体检发现甲状腺结节咋办.军事要闻.
            .来穿越南海的加拿大军舰，技术水平停留在上世纪80年代.电影中可以飞的歼-10C战机，原来是这么制作出来的！.深藏功与名！95岁老兵家粮缸上发现72年前“功臣”牌匾.
            .
            .About NetEase.公司简介.联系方法.招聘信息.客户服务.隐私政策.广告服务.不良信息举报 Complaint Center.廉正举报.",网易新闻,2021年4月3日,强基!、重庆大学、电子科大2020强基计划入围分数线汇总,http://dy.163.com/article/G6LBF31605378PI9.html
